﻿viha,pelko,inho,onnellisuus,suru,yllätys,neutral,ahdistus,rakkaus,masennus,halveksunta,ylpeys,häpeä,mustasukkaisuus,,,,,,,,,,,,,,,,,,,,,
X,,,,,,,,,,,,,,aggressiivinen,aggressio,,,,,,,,,,agressiivinen,agressio,,,,,,,,
,,,,,,,X,,,,,,,ahdistus,ahdistuneisuus,ahdistunut,,,,ahdistua,ahdistaa,,,,ahdistuksentunne,ahdistuneisuudentunne,ahdistaapi,ahdistustila,,,,,,
,,,,X,,,,,,,,,,alakuloisuus,alakuloinen,,,,,,,,,,alakulo,,,,,,,,,
,X,,,,,,,,,,,,,alistuneisuus,alistuminen,alistunut,alistuva,,,alistua,alistaa,,,,alistumismieliala,,,,,,,,,
,,,,,,,,,X,,,,,apaattisuus,apaattinen,apatia,,,,,,,,,,,,,,,,,,
,,,,X,,,,,,,,,,apeus,apea,,,,,apeutua,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,arkuus,arka,,,,,arkailla,arastaa,arastella,,,,,,,,,,,,
X,,,,,,,,,,,,,,ärsyyntynyt,ärsyyntyminen,,,,,ärsyyntyä,ärsyttää,,,,ärsytellä,ärsytellyt,,,,,,,,
X,,,,,,,,,,,,,,ärtymys,ärtyneisyys,ärtynyt,,,,ärtyä,ärsyttää,ärsyyntyä,,,ärtyinen,ärtyminen,ärtyily,ärtyisyys,,,,,,
,X,,,,,,,,,,,,,avuttomuus,,,,,,,,,,,avuttomuustila,avuttomuudentunne,avuttomuudentila,avuton,,,,,,
,,,,,,,,X,,,,,,empatia,empaattisuus,empaattinen,,,,,,,,,empaattisesti,,,,,,,,,
,,,X,,,,,,,,,,,energinen,energisyys,,,,,energistää,energisoida,,,,,,,,,,,,,
,,,,,,,X,,,,,,,epäilys,epäily,epäilevyys,epäileväisyys,epäilevä,epäilyttävä,epäillä,epäilyttää,,,,,,,,,,,,,
,X,,,,,,,,,,,,,epäluuloisuus,epäluulo,epäluuloinen ,,,,,,,,,,,,,,,,,,
,,,,,,,X,,,,,,,epätietoisuus,,,,,,,,,,,epätietoinen,,,,,,,,,
,X,,,,,,,,,,,,,epätoivo,epätoivoisuus,,,,,,,,,,epätoivoinen,epätoivonen,epätoivontunne,epätoivoisesti,epätoivosesti,,,,,
,,,,,X,,,,,,,,,epäusko,,,,,,,,,,,epäuskoinen,epäuskoisuus,,,,,,,,
,,,,,,,X,,,,,,,epävarmuus,epävarma,,,,,,,,,,epävarmuudentila,epävarmuudentunne,epävarmuustila,epävarmuustunne,,,,,,
,,,,X,,,,,,,,,,haikeus,,,,,,haikailla,,,,,haikee,haikeena,haikiasti,haikea,haikeasti,,,,,
,,,,,,,,X,,,,,,halu,halukas,,,,,haluta,haluttaa,,,,,,,,,,,,,
,,,,,,,,,,X,,,,halveksunta,halveksuminen,halveksiva,,,,halveksua,halveksia,,,,,,,,,,,,,
,,,,,X,,,,,,,,,hämmästys,hämmästynyt,hämmästyneisyys,,,,hämmästyä,hämmästyttää,hämmästellä,,,hämmästely,,,,,,,,,
,,,,,X,,,,,,,,,hämmennys,hämmentyneisyys ,,,,,hämmentyä,hämmentää,,,,,,,,,,,,,
,,,,,,,,,,,,X,,häpeä,häpeilevä,,,,,hävetä,hävettää,häpeillä,,,häpeällinen,häpeäntunne,häpeätunne,,,,,,,
,,,,,,,,,X,,,,,harmaus,harmaa,,,,,harmaantua,,,,,,,,,,,,,,
,,,,X,,,,,,,,,,harmi,harmistus,harmittaa,,,,harmistua,,,,,harmintunne,harmissaan,harmistuttava,harmitus,,,,,,
,,,,,,,,X,,,,,,hartaus,,,,,,,,,,,,,,,,,,,,
,,,,,,,X,,,,,,,hätäännys,hätä,,,,,hätäillä,hätääntyä,hätäännyttää,,,hätäily,hätäinen,hätäisyys,,,,,,,
,,,X,,,,,,,,,,,hauskuus,hauska,,,,,hauskuuttaa,,,,,hauskuttelu,hauskanpito,hauskuudenpito,hauskuutus,,,,,,
,,,,,,,,X,,,,,,hellyys,hellä,,,,,helliä,hellyyttää,heltyä,,,hellävarainen,,,,,,,,,
,,,X,,,X,,,,,,,,helpotus,helpottuneisuus,helpottunut,helpottaa,,,helpottaa,helpottua,,,,helpota,helpottuneisuuden,helpotuksentunne,,,,,,,
,,,,,,,X,,,,,,,hermostuneisuus,hermostunut,hermostus,,,,hermostua,hermoilla,hermostuttaa,,,hermostressi,hermostumistila,,,,,,,,
,,,X,,,,,,,,,,,hilpeys,hilpeä ,,,,,hilpeillä,hilpeyttää,,,,hilpeilee,hilpeilevä,,,,,,,,
,,,,,,,,X,,,,,,himo,himokas,,,,,himoita,himota,himotuttaa,,,himokkaasti,himottaa,,,,,,,,
,,,,,,,X,,,,,,,huoli,huolestuneisuus,,,,,huolia,huolehtia,huolettaa,huolestua,,huolenkanto,huolensekainen,huolestumus,huolestus,huolestuttaa,,,,,
,,,X,,,,,,,,,,,huvittuneisuus,huvittunut,,,,,huvittua,huvittaa,huvitella,,,,,,,,,,,,
,,,X,,,,,,,,,,,hymy,hymyilevä,hymyilyttää,,,,hymyillä,hymytä,hymyilyttää,,,hymyisä,,,,,,,,,
,,,X,,,,,,,,,,,hyväolla,hyväolo,,,,,,,,,,hyvänolontunne,hyvänolo,hyvänolotunne,,,,,,,
,,,,,,,,X,,,,,,ihastus,ihastuminen,ihailu,ihastunut,,,ihastua,ihailla,ihastuttaa,,,ihastuneisuus,,,,,,,,,
,,,,,X,,,,,,,,,ihmetys,,,,,,ihmetellä,ihmetyttää,ihmettää,,,,,,,,,,,,
,,,,X,,,,,,,,,,ikävä,,,,,,ikävöidä,,,,,ikäväkohtaus,ikäväntunne,ikävöinti,,,,,,,
,,,,,,,,,,X,,,,ilkeys,,,,,,ilkeillä,ilkeytyä,,,,,,,,,,,,,
,,,X,,,,,,,,,,,ilo,iloinen,iloisuus,ilostuminen,ilahdus,,ilahtua,ilahduttaa,iloita,,,ilomieli,ilomielisyys,ilonen,ilontunne,ilontuntu,,,,,
,,X,,,,,,,,,,,,inho,,,,,,inhota,inhottaa,,,,inhoittava,inhottava,inhottavuus,inhotus,,,,,,
,,,X,,,,,,,,,,,innostunut,into,innostuneisuus,innostus,innoissaan,,innostua,innostaa,innostuttaa,intoilla,,innokas,innokkaasti,innoite,innoittaa,innoittua,innoitus,innokkuus,innottaa,,
,,,,,,,,X,,,,,,intohimo,intohimoinen,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,X,,,itsekkyys,itsekäs,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,X,,,itsevarmuus,itsevarma,,,,,,,,,,,,,,,,,,,
,,,,,,,X,,,,,,,jännitys,jännittynyt,jännittyneisyys,jännittävä,,,jännittää,jännittyä,,,,jännittävyys,,,,,,,,,
,,,,X,,,,,,,,,,kaiho,kaihomielisyys,kaihomieli,kaihoava,,,kaihota,kaihoilla,,,,kaihoisa,,,,,,,,,
,,,,X,,,,,,,,,,kaipaus,kaipuu,kaipaava,,,,kaivata,,,,,kaipaavi,kaipailla,,,,,,,,
,,,,,,,,,X,,,,,kärsimys,,,,,,kärsiä,,,,,,,,,,,,,,
,,,,,,X,,,,,,,,kärsivällisyys,kärsivällinen,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,X,kateus,kateellisuus,kateellinen,,,,kadehtia,,,,,kateudentunne,,,,,,,,,
X,,,,,,,,,,,,,,katkeruus,,,,,,katkeroitua,,,,,katkera,katkeroituneisuus,,,,,,,,
,,,,,,,,,,,,X,,katumus,katuminen,,,,,katua,kaduttaa,,,,katumustila,,,,,,,,,
,X,,,,,,,,,,,,,kauhu,kauhistuneisuus,,,,,kahistua,kauhistaa,kauhistuttaa,,,kauhistella,,,,,,,,,
X,,,,,,,,,,,,,,kauna,kaunaisuus,,,,,,,,,,kaunainen,kaunantunne,,,,,,,,
X,,,,,,,,,,,,,,kiihtynyt,kiihtyneisyys,kiihtyminen,,,,kiihtyä,kiihdyttää,,,,kiihkeä,,,,,,,,,
,,,,,,,,X,,,,,,kiintymys,,,,,,kiintyä,,,,,,,,,,,,,,
,,,X,,,,,,,,,,,kiitollisuus,kiitollinen,,,,,kiittää,kiitellä,,,,,,,,,,,,,
X,,,,,,,,,,,,,,kiukku,kiukkuisuus,kiukkuinen,,,,kiukuta,kiukkuilla,kiukutella,kiukuttaa,,kiukkuisa,kikkuisesti,kiukkuissaan,kiukkunen,kiukuntunne,kiukunpuuska,kiukuissaan,kiukustua,kiukuttelu,kiukuttelukohtaus
,,,,,,,,,,,,X,,kiusaantuneisuus,kiusaantunut,kiusallinen ,,,,kiusaantua,kiusaannuttaa,,,,kiusallisuus,,,,,,,,,
