aavistus,,,,,,,,,,,,,,,,,,
aggressiivinen,aggressio,agressiivinen,agressio,,,,,,,,,,,,,,,
ahdistella,,,,,,,,,,,,,,,,,,
ahdistus,ahdistuneisuus,ahdistunut,ahdistua,ahdistaa,ahdistuksentunne,ahdistuneisuudentunne,ahdistaapi,ahdistustila,,,,,,,,,,
alakuloisuus,alakuloinen,alakulo,,,,,,,,,,,,,,,,
alistuneisuus,alistuminen,alistunut,alistuva,alistua,alistaa,alistumismieliala,,,,,,,,,,,,
apaattisuus,apaattinen,apatia,,,,,,,,,,,,,,,,
apeus,apea,apeutua,,,,,,,,,,,,,,,,
arkuus,arka,arkailla,arastaa,arastella,,,,,,,,,,,,,,
arvostaa,,,,,,,,,,,,,,,,,,
avuttomuus,avuttomuustila,avuttomuudentunne,avuttomuudentila,avuton,,,,,,,,,,,,,,
empatia,empaattisuus,empaattinen,empaattisesti,,,,,,,,,,,,,,,
energinen,energisyys,energistää,energisoida,,,,,,,,,,,,,,,
epäilys,epäily,epäilevyys,epäileväisyys,epäilevä,epäilyttävä,epäillä,epäilyttää,,,,,,,,,,,
epäkunnioittava,,,,,,,,,,,,,,,,,,
epäluuloisuus,epäluulo,epäluuloinen,,,,,,,,,,,,,,,,
epätietoisuus,epätietoinen,,,,,,,,,,,,,,,,,
epätoivo,epätoivoisuus,epätoivoinen,epätoivonen,epätoivontunne,epätoivoisesti,epätoivosesti,,,,,,,,,,,,
epäusko,epäuskoinen,epäuskoisuus,,,,,,,,,,,,,,,,
epävarmuus,epävarma,epävarmuudentila,epävarmuudentunne,epävarmuustila,epävarmuustunne,,,,,,,,,,,,,
haavoittaa,,,,,,,,,,,,,,,,,,
haikeus,haikailla,haikee,haikeena,haikiasti,haikea,haikeasti,,,,,,,,,,,,
halu,halukas,haluta,haluttaa,,,,,,,,,,,,,,,
halveksunta,halveksuminen,halveksiva,halveksua,halveksia,halveksinta,halveksuva,halventava,,,,,,,,,,,
harmaus,harmaa,harmaantua,,,,,,,,,,,,,,,,
harmi,harmistus,harmittaa,harmistua,harmintunne,harmissaan,harmistuttava,harmitus,,,,,,,,,,,
hartaus,harras,,,,,,,,,,,,,,,,,
hauskuus,hauska,hauskuuttaa,hauskuttelu,hauskanpito,hauskuudenpito,hauskuutus,,,,,,,,,,,,
hehku,hehkua,,,,,,,,,,,,,,,,,
hellyys,hellä,helliä,hellyyttää,heltyä,hellävarainen,,,,,,,,,,,,,
helpotus,helpottuneisuus,helpottunut,helpottaa,helpottua,helpota,helpottuneisuuden,helpotuksentunne,,,,,,,,,,,
hermostuneisuus,hermostunut,hermostus,hermostua,hermoilla,hermostuttaa,hermostressi,hermostumistila,,,,,,,,,,,
herättää,,,,,,,,,,,,,,,,,,
hilpeys,hilpeä,hilpeillä,hilpeyttää,hilpeilee,hilpeilevä,,,,,,,,,,,,,
himo,himokas,himoita,himota,himotuttaa,himokkaasti,himottaa,,,,,,,,,,,,
hinku,hinkua,,,,,,,,,,,,,,,,,
hirvittää,,,,,,,,,,,,,,,,,,
houkuttaa,,,,,,,,,,,,,,,,,,
hullaannuttaa,hullaantuminen,,,,,,,,,,,,,,,,,
huolehtia,huolenkanto,huolensekainen,huolestua,huolestumus,huolestuneisuus,huolestus,huolestuttaa,huolettaa,huoli,huolia,huolehtiminen,huolestunut,huolestuttava,,,,,
hurmata,,,,,,,,,,,,,,,,,,
huumata,,,,,,,,,,,,,,,,,,
huvittuneisuus,huvittunut,huvittua,huvittaa,huvitella,,,,,,,,,,,,,,
hymy,hymyilevä,hymyilyttää,hymyillä,hymytä,hymyisä,,,,,,,,,,,,,
hyväolla,hyväolo,hyvänolontunne,hyvänolo,hyvänolotunne,,,,,,,,,,,,,,
häirintä,häiritä,,,,,,,,,,,,,,,,,
hämmennys,hämmentyneisyys,hämmentyä,hämmentää,hämmästellä,hämmästely,hämmästyneisyys,hämmästynyt,hämmästys,hämmästyttää,hämmästyä,hämminki,,,,,,,
häpeä,häpeilevä,hävetä,hävettää,häpeillä,häpeällinen,häpeäntunne,häpeätunne,,,,,,,,,,,
hätäännys,hätä,hätäillä,hätääntyä,hätäännyttää,hätäily,hätäinen,hätäisyys,,,,,,,,,,,
häveliäisyys,häveliäs,,,,,,,,,,,,,,,,,
ihailla,ihailu,ihannoida,,,,,,,,,,,,,,,,
ihastua,ihastuminen,ihastuneisuus,ihastunut,ihastus,ihastuttaa,,,,,,,,,,,,,
ihmetys,ihmetellä,ihmetyttää,ihmettää,,,,,,,,,,,,,,,
ikävä,ikävöidä,ikäväkohtaus,ikäväntunne,ikävöinti,,,,,,,,,,,,,,
iljettää,iljetys,,,,,,,,,,,,,,,,,
ilkeys,ilkeillä,ilkeytyä,,,,,,,,,,,,,,,,
ilo,iloinen,iloisuus,iloita,ilomieli,ilomielisyys,ilonen,ilontunne,ilontuntu,ilostuminen,iloitseminen,,,,,,,,
inho,inhota,inhottaa,inhoittava,inhottava,inhottavuus,inhotus,,,,,,,,,,,,
innostunut,into,innostuneisuus,innostus,innoissaan,innostua,innostaa,innostuttaa,intoilla,innokas,innokkaasti,innoite,innoittaa,innoittua,innoitus,innokkuus,innottaa,,
intohimo,intohimoinen,,,,,,,,,,,,,,,,,
itsekkyys,itsekäs,,,,,,,,,,,,,,,,,
itsevarmuus,itsevarma,,,,,,,,,,,,,,,,,
jännitys,jännittynyt,jännittyneisyys,jännittävä,jännittää,jännittyä,jännittävyys,,,,,,,,,,,,
järkyttää,,,,,,,,,,,,,,,,,,
kaiho,kaihomielisyys,kaihomieli,kaihoava,kaihota,kaihoilla,kaihoisa,,,,,,,,,,,,
kaino,kainous,,,,,,,,,,,,,,,,,
kaipaus,kaipuu,kaipaava,kaivata,kaipaavi,kaipailla,,,,,,,,,,,,,
kammo,kammoksua,kammota,,,,,,,,,,,,,,,,
kateus,kateellisuus,kateellinen,kadehtia,kateudentunne,,,,,,,,,,,,,,
katkeruus,katkeroitua,katkera,katkeroituneisuus,,,,,,,,,,,,,,,
katumus,katuminen,katua,kaduttaa,katumustila,,,,,,,,,,,,,,
kauhistaa,kauhistella,kauhistuneisuus,kauhistuttaa,kauhu,kauhistunut,,,,,,,,,,,,,
kauna,kaunaisuus,kaunainen,kaunantunne,,,,,,,,,,,,,,,
kiduttaa,kiduttava,kidutus,,,,,,,,,,,,,,,,
kiehtoa,,,,,,,,,,,,,,,,,,
kiihdyttää,kiihkeä,kiihtyminen,kiihtyneisyys,kiihtynyt,kiihtyä,kiihko,,,,,,,,,,,,
kiintymys,kiintyä,,,,,,,,,,,,,,,,,
kiitollisuus,kiitollinen,kiittää,kiitellä,,,,,,,,,,,,,,,
kipu,,,,,,,,,,,,,,,,,,
kiukku,kiukkuisuus,kiukkuinen,kiukuta,kiukkuilla,kiukutella,kiukuttaa,kiukkuisa,kikkuisesti,kiukkuissaan,kiukkunen,kiukuntunne,kiukunpuuska,kiukuissaan,kiukustua,kiukuttelu,kiukuttelukohtaus,,
kiusaantuneisuus,kiusaantunut,kiusallinen,kiusaantua,kiusaannuttaa,kiusallisuus,,,,,,,,,,,,,
kiusata,,,,,,,,,,,,,,,,,,
kolhaista,,,,,,,,,,,,,,,,,,
kumartaa,,,,,,,,,,,,,,,,,,
kunnioittava,,,,,,,,,,,,,,,,,,
kunnioittaa,kunnioitus,kunniottaa,kunnioittaminen,,,,,,,,,,,,,,,
kuolemantuska,,,,,,,,,,,,,,,,,,
kutittaa,,,,,,,,,,,,,,,,,,
kuvottaa,,,,,,,,,,,,,,,,,,
kärsimys,kärsiä,,,,,,,,,,,,,,,,,
kärsivällisyys,kärsivällinen,,,,,,,,,,,,,,,,,
laiskuus,laiska,laiskotella,laiskottaa,,,,,,,,,,,,,,,
laukaista,,,,,,,,,,,,,,,,,,
lempeys,lempiä,lempeillä,lempeä,,,,,,,,,,,,,,,
levollinen,levollisuus,levätä,levähtää,,,,,,,,,,,,,,,
levottomuus,levoton,levottomuudentunne,,,,,,,,,,,,,,,,
lievittää,,,,,,,,,,,,,,,,,,
lohdullinen,lohdutettavissa,lohduttaa,lohduttava,lohdutus,,,,,,,,,,,,,,
loistaa,,,,,,,,,,,,,,,,,,
loukata,loukkaava,,,,,,,,,,,,,,,,,
lumota,lumous,,,,,,,,,,,,,,,,,
luottaa,,,,,,,,,,,,,,,,,,
läheisyys,lähentyä,,,,,,,,,,,,,,,,,
lämmin,lämpimyys,lämmitä,lämmittää,lämmetä,lämpö,,,,,,,,,,,,,
masennus,masentuneisuus,masentunut,masentava,masentua,masentaa,masennustila,,,,,,,,,,,,
mielihyvä,miellyttävä,miellyttää,,,,,,,,,,,,,,,,
mieliteko,mieliä,,,,,,,,,,,,,,,,,
murhe,murheellinen,murheilla,murheellisuus,murheinen,murehtia,,,,,,,,,,,,,
murjottava,murjotus,murjottaa,murjotuttaa,murjotella,murjottelu,murjottelua,,,,,,,,,,,,
mustasukkaisuus,mustasukkainen,mustasukkaisuudentunto,mustasukkaisuuskohtaus,mustasukkaisuuspuuska,mustasukkaisuudenpuuska,mustasukkanen,,,,,,,,,,,,
myötätunto,myötätuntoinen,myötätuntoisuus,,,,,,,,,,,,,,,,
nauru,nauraa,naurattaa,naureskella,naurunhekotus,naurunhihitys,naurunhohotus,naurunhörähdys,naurunkohtaus,naurunremahdus,,,,,,,,,
nautinto,nautiskeleva,nauttia,nautiskella,nautinta,nautiskelu,nautinnollinen,nautinnonhetki,,,,,,,,,,,
nolata,nolostuttaa,nolous,,,,,,,,,,,,,,,,
odotus,odottava,odottavainen,odottaa,odotella,odotuttaa,,,,,,,,,,,,,
onnellisuus,onni,onnellinen,onnentunne,,,,,,,,,,,,,,,
onneton,onnettomuus,,,,,,,,,,,,,,,,,
onnistuminen,onnistuneisuus,onnistua,onnistaa,,,,,,,,,,,,,,,
onttous,ontto,,,,,,,,,,,,,,,,,
paheksunta,,,,,,,,,,,,,,,,,,
paistatella,,,,,,,,,,,,,,,,,,
palvoa,palvonta,,,,,,,,,,,,,,,,,
paniikki,paniikkikohtaus,,,,,,,,,,,,,,,,,
pelko,peljästyä,peljätä,pelkotila,pelkuruus,pelokas,pelokkuus,pelonalainen,pelonsekainen,pelontunne,pelotella,pelottaa,pelottava,pelottavuus,pelästyä,pelätä,pelästys,pelästyttää,peläten
pettymys,pettynyt,pettyminen,pettyä,pettää,pettyneisyys,,,,,,,,,,,,,
piina,piinata,,,,,,,,,,,,,,,,,
pirteys,pirteä,piristää,,,,,,,,,,,,,,,,
pitää,,,,,,,,,,,,,,,,,,
positiivisuus,positiivinen,,,,,,,,,,,,,,,,,
potku,,,,,,,,,,,,,,,,,,
punastuminen,,,,,,,,,,,,,,,,,,
päihdyttää,päihtymys,,,,,,,,,,,,,,,,,
pöyhistellä,,,,,,,,,,,,,,,,,,
pöyristyttää,,,,,,,,,,,,,,,,,,
raivo,raivoissaan,raivokohtaus,raivonpurkaus,raivonpuuska,raivostua,raivostuttaa,raivota,raivotila,raivostuminen,,,,,,,,,
rakastaa,rakastava,rakastua,rakastuminen,rakastunut,rakkaudentila,rakkaudentunne,rakkaudentuntemus,rakkaus,rakkauskokemus,rakastettava,,,,,,,,
rauhallisuus,rauha,rauhallinen,rauhoittua,rauhoittaa,rauhaisa,rauhainen,rauhottaa,rauhantunne,,,,,,,,,,
rauhattomuus,rauhaton,rauhattomuustila,,,,,,,,,,,,,,,,
rauhoittava,,,,,,,,,,,,,,,,,,
rehellisyys,rehellinen,,,,,,,,,,,,,,,,,
riemastua,riemastunut,riemastus,riemastuttaa,riemu,riemuissaan,riemuita,riemukas,riemukkaasti,riemukkuus,riemullinen,riemullisuus,riemunpurkaus,riemuitseminen,riemuitseva,,,,
riidanhaluisuus,riitaisuus,riitainen,riidellä,riitautua,riidanhaluinen,riitaantua,riitely,,,,,,,,,,,
rohkeus,rohkea,rohkeamielisyys,,,,,,,,,,,,,,,,
rääkätä,,,,,,,,,,,,,,,,,,
sapettaa,,,,,,,,,,,,,,,,,,
satuttaa,,,,,,,,,,,,,,,,,,
sekavuus,,,,,,,,,,,,,,,,,,
suru,surullinen,surullisuus,surra,surettaa,suruinen,surumielinen,surumielisyys,,,,,,,,,,,
suuttumus,suuttuminen,suuttunut,suuttuneisuus,suuttua,suututtaa,suutahtaa,suutuksissa,suutuspäissään,,,,,,,,,,
sympata,sympatisoida,,,,,,,,,,,,,,,,,
sympatia,sympaattinen,sympaattisuus,,,,,,,,,,,,,,,,
syyllisyys,syyllistää,,,,,,,,,,,,,,,,,
sädehtiä,,,,,,,,,,,,,,,,,,
säikyttää,säikähdys,,,,,,,,,,,,,,,,,
säteillä,,,,,,,,,,,,,,,,,,
sävähdys,sävähtää,sävärit,,,,,,,,,,,,,,,,
sääli,säälivä,sääliä,säälittää,säälintunne,sääliväinen,,,,,,,,,,,,,
tahtoa,,,,,,,,,,,,,,,,,,
tarve,,,,,,,,,,,,,,,,,,
tasapainoisuus,tasapaino,tasapainoilla,tasapainottaa,tasapainoinen,tasapainoilu,tasapainonen,,,,,,,,,,,,
tenhota,,,,,,,,,,,,,,,,,,
toiveikkuus,toiveikas,toive,toivoa,toivehikkuus,toivo,toivoikas,,,,,,,,,,,,
toivottomuus,toivoton,toivotonna,,,,,,,,,,,,,,,,
tuntea,,,,,,,,,,,,,,,,,,
turhautuneisuus,turhautuminen,turhautunut,turhauma,turhautua,turhauttaa,turhautuma,turhautumatilanne,,,,,,,,,,,
turta,turtunut,turtumus,turtua,turruttaa,turtumustila,,,,,,,,,,,,,
turvallisuus,turvallinen,turvautua,turvata,turvaisa,turvallisuudentunne,turvallisuusolo,turvallisuudentuntu,,,,,,,,,,,
tuska,tuskaantua,tuskailla,tuskainen,tuskaisuus,tuskallisuus,tuskanhetki,tuskantila,tuskantunto,tuskastua,tuskastunut,tuskastuttaa,tuskatila,tuskautua,tuskallinen,,,,
tyhjyys,tyhjä,tyhjentää,tyhjätuntuinen,,,,,,,,,,,,,,,
tympäistä,,,,,,,,,,,,,,,,,,
tyrmistys,tyrmistyttää,,,,,,,,,,,,,,,,,
tyyneys,tyyni,tyyntyä,tyynnyttää,,,,,,,,,,,,,,,
tyytymätön,tyytymättömyys,,,,,,,,,,,,,,,,,
tyytyväinen,tyytyväisyys,tyydyttää,,,,,,,,,,,,,,,,
ujous,ujo,ujostella,ujostuttaa,ujostua,ujottaa,ujoudenpuuska,ujouskohtaus,,,,,,,,,,,
vaivaantuneisuus,,,,,,,,,,,,,,,,,,
vaivata,,,,,,,,,,,,,,,,,,
vakuuttava,,,,,,,,,,,,,,,,,,
valloittaa,,,,,,,,,,,,,,,,,,
vangita,,,,,,,,,,,,,,,,,,
vapaus,vapauden tunne,vapaa,vapautua,vapauttaa,vapaudenhuuma,vapaudentunto,vapaudentuntu,vapaudentunne,vapaushuuma,vapautuneisuus,,,,,,,,
vastenmielinen,vastenmielisyys,,,,,,,,,,,,,,,,,
viekoitella,vietti,,,,,,,,,,,,,,,,,
viha,vihaisuus,vihainen,vihastuminen,vihata,vihastua,vihastuttaa,vihaisa,vihanpurkaus,vihanpuuska,vihantunne,vihantäyttämä,vihanvimma,vihapäissään,,,,,
vihattava,,,,,,,,,,,,,,,,,,
viileys,viileä,viilentyä,viiletä,,,,,,,,,,,,,,,
vimma,,,,,,,,,,,,,,,,,,
voimaton,voimattomuus,voimattomana,voimattomuudentunne,,,,,,,,,,,,,,,
väheksyä,,,,,,,,,,,,,,,,,,
välinpitämättömyys,välinpitämätön,,,,,,,,,,,,,,,,,
välittäminen,välittää,,,,,,,,,,,,,,,,,
värähtää,,,,,,,,,,,,,,,,,,
yksinäisyys,yksinäinen,yksin,yksinäiyydentunne,,,,,,,,,,,,,,,
ylenkatse,ylenkatsoa,,,,,,,,,,,,,,,,,
yllättyneisyys,yllättynyt,yllättyä,yllättää,,,,,,,,,,,,,,,
ylpeys,ylpeä,ylpeillä,ylvistellä,ylpeydentunne,ylpeily,ylvästely,ylvästellä,ylpee,ylpedentunto,,,,,,,,,
ystävällisyys,,,,,,,,,,,,,,,,,,
ällöttää,,,,,,,,,,,,,,,,,,
ärsytellyt,ärsytellä,ärsyttää,,,,,,,,,,,,,,,,
ärtymys,ärtyneisyys,ärtynyt,ärtyä,ärsyyntyminen,ärsyyntyä,ärtyinen,ärtyminen,ärtyily,ärtyisyys,ärsyyntynyt,ärsyyntyä,ärsyynnys,,,,,,
aivo,aivot,,,,,,,,,,,,,,,,,
kasvo,kasvot,,,,,,,,,,,,,,,,,,
nivunen,nivuset,,,,,,,,,,,,,,,,,
ien,ikenet,,,,,,,,,,,,,,,,,
